timestamp,user_id,phase,state,anchor_light_lux,anchor_aroma_level,anchor_temp_delta_c,model_light_delta,model_aroma_delta,model_temp_delta_c,final_light_lux,final_aroma_level,final_temp_delta_c,safety_violated
2026-06-11T22:10:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.061,0.072,-0.03,1.5,0.1,-0.5,True
2026-06-11T22:11:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.049,0.043,-0.09,1.451,0.2,-1.0,True
2026-06-11T22:12:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.028,0.052,-0.13,1.472,0.3,-1.5,True
2026-06-11T22:13:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.051,0.037,-0.055,1.449,0.4,-1.555,True
2026-06-11T22:14:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.052,0.058,-0.029,1.448,0.5,-1.529,True
2026-06-11T22:15:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.065,0.029,-0.065,1.435,0.579,-1.565,False
2026-06-11T22:16:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.023,0.036,-0.074,1.477,0.586,-1.574,False
2026-06-11T22:17:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.044,0.054,-0.076,1.456,0.604,-1.576,False
2026-06-11T22:18:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,0.05,0.042,-0.046,1.55,0.592,-1.546,False
2026-06-11T22:19:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.043,0.015,-0.007,1.457,0.565,-1.507,False
2026-06-11T22:20:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.13,0.063,-0.1,1.37,0.613,-1.6,False
2026-06-11T22:21:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.07,0.044,0.016,1.43,0.594,-1.484,False
2026-06-11T22:22:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.02,0.04,-0.075,1.48,0.59,-1.575,False
2026-06-11T22:23:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,-0.007,0.039,-0.024,1.793,0.49,-1.075,True
2026-06-11T22:24:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,-0.082,0.044,-0.031,1.718,0.394,-0.831,False
2026-06-11T22:25:00+08:00,u_001,PRE_SLEEP,S1,1.5,0.55,-1.5,-0.069,0.033,-0.053,1.431,0.494,-1.331,True
2026-06-11T22:26:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,-0.042,0.042,-0.091,1.758,0.394,-0.891,True
2026-06-11T22:27:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,-0.047,0.05,-0.06,1.753,0.4,-0.86,False
2026-06-11T22:28:00+08:00,u_001,PRE_SLEEP,S3,1.8,0.35,-0.8,-0.025,0.027,-0.03,1.775,0.377,-0.83,False
